Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C5",C0402,2,1uF,C52923
"C10, C9",C0402,2,15pf,C1548
C11,C1206,1,100uF,C15008
"C2, C4, C7",C0402,3,0.1uF,C1525
C3,C0402,1,10uF,C15525
C6,C0402,1,10nF,C15195
C8,C0402,1,1uF,C29266
J1,PinSocket_1x06_P2.54mm_Vertical,1,Flash,
J2,Untitled,1,BAT,
L1,L0402,1,2nF,C76769
L2,L0402,1,15nH,C76769
LED1,LED0603-RD,1,FC-1608YXK-585F08,C89811
R1,R0402,1,499Ω,C2960788
"R2, R7",R0402,2,22,C105872
R3,R0402,1,0402WGF3300TCE,C105872
"R4, R5, R6",R0402,3,10k,C105872
U1,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,ESP32-C3FH4,C2858491
USB1,PinSocket_1x02_P2.54mm_Vertical,1,USB,
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,XL2EL89CPI-111YLC-40M,C5444549
