Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C5, C8",C0402,3,1uF,C52923
"C10, C9",C0402,2,15pf,C1548
C11,C1206,1,100uF,C15008
C12,C0402,1,1pF,C1550
"C2, C4, C7",C0402,3,0.1uF,C1525
C3,C0402,1,10uF,C15525
C6,C0402,1,10nF,C15195
L1,L0402,1,2nH,C76769
L2,L0402,1,15nH,C27143
L3,L0402,1,2.7nH,C27123
L4,IND-SMD_L1.0-W0.5-2,1,3.9nH,C98062
LED1,LED0603-RD,1,FC-1608YXK-585F08,C2286
R1,R0402,1,499Ω,C2960788
"R2, R7",R0402,2,22,C25092
R3,R0402,1,0402WGF3300TCE,C25104
"R4, R5, R6",R0402,3,10k,C25744
U1,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,ESP32-C3FH4,C2858491
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,XL2EL89CPI-111YLC-40M,C5444549
