Designator,Mid X,Mid Y,Rotation,Layer
AE1,48.25,-46.25,180.0,top
C1,54.2,-55.0,90.0,top
C10,58.75,-50.1,270.0,top
C11,65.2,-57.0,75.0,top
C12,53.8,-48.62,90.0,top
C2,52.6,-56.7,0.0,top
C3,52.6,-57.7,0.0,top
C4,57.5,-58.82,90.0,top
C5,56.41,-49.83,90.0,top
C6,56.0,-51.25,180.0,top
C7,62.08,-56.5,180.0,top
C8,59.42,-64.0,180.0,top
C9,57.5,-48.58,270.0,top
L1,53.0,-55.0,90.0,top
L2,57.5,-50.67,90.0,top
L3,53.903015,-46.596985,225.0,top
L4,51.45,-46.25,0.0,top
LED1,64.0,-50.25,270.0,top
R1,63.1,-59.1,90.0,top
R2,51.579399,-53.526399,140.0,top
R3,65.0,-52.93,270.0,top
R4,57.07,-64.0,0.0,top
R5,53.2,-59.3,225.0,top
R6,54.623601,-58.070601,310.0,top
R7,49.973601,-58.329399,230.0,top
U1,58.1,-55.055,0.0,top
X1,61.15,-48.75,270.0,top
